Time,Value
0,0
0.0001,0.00499997916669271
0.0002,0.00999983333416666
0.0003,0.0149994375063281
0.0004,0.0199986666933331
0.0005,0.0249973959147123
0.0006,0.0299955002024957
0.0007,0.0349928546043362
0.0008,0.0399893341866342
0.0009,0.0449848140376602
0.001,0.0499791692706783
0.0011,0.0549722750270677
0.0012,0.0599640064794446
0.0013,0.0649542388347826
0.0014,0.0699428473375328
0.0015,0.0749297072727423
0.0016,0.0799146939691727
0.0017,0.084897682802416
0.0018,0.0898785491980111
0.0019,0.0948571686345573
0.002,0.0998334166468282
0.0021,0.104807168828882
0.0022,0.109778300837175
0.0023,0.114746688393664
0.0024,0.119712207288919
0.0025,0.124674733385228
0.0026,0.129634142619695
0.0027,0.134590311007348
0.0028,0.139543114644236
0.0029,0.144492429710526
0.003,0.149438132473599
0.0031,0.154380099291143
0.0032,0.159318206614246
0.0033,0.164252330990481
0.0034,0.169182349066996
0.0035,0.174108137593596
0.0036,0.179029573425824
0.0037,0.183946533528041
0.0038,0.188858894976501
0.0039,0.193766534962422
0.004,0.198669330795061
0.0041,0.203567159904778
0.0042,0.2084598998461
0.0043,0.213347428300782
0.0044,0.218229623080869
0.0045,0.223106362131745
0.0046,0.227977523535188
0.0047,0.232842985512417
0.0048,0.237702626427135
0.0049,0.242556324788572
0.005,0.247403959254523
0.0051,0.252245408634378
0.0052,0.257080551892155
0.0053,0.261909268149524
0.0054,0.266731436688831
0.0055,0.271546936956113
0.0056,0.276355648564114
0.0057,0.281157451295294
0.0058,0.285952225104836
0.0059,0.290739850123643
0.006,0.29552020666134
0.0061,0.300293175209262
0.0062,0.305058636443444
0.0063,0.309816471227603
0.0064,0.314566560616118
0.0065,0.319308785857001
0.0066,0.324043028394868
0.0067,0.328769169873903
0.0068,0.333487092140814
0.0069,0.338196677247791
0.007,0.342897807455451
0.0071,0.347590365235784
0.0072,0.35227423327509
0.0073,0.356949294476911
0.0074,0.361615431964962
0.0075,0.366272529086048
0.0076,0.370920469412983
0.0077,0.375559136747501
0.0078,0.380188415123161
0.0079,0.384808188808245
0.008,0.389418342308651
0.0081,0.39401876037078
0.0082,0.398609327984423
0.0083,0.403189930385627
0.0084,0.40776045305957
0.0085,0.412320781743425
0.0086,0.416870802429211
0.0087,0.421410401366648
0.0088,0.425939465066
0.0089,0.430457880300909
0.009,0.43496553411123
0.0091,0.439462313805853
0.0092,0.44394810696552
0.0093,0.448422801445634
0.0094,0.452886285379068
0.0095,0.457338447178955
0.0096,0.461779175541483
0.0097,0.466208359448673
0.0098,0.470625888171158
0.0099,0.475031651270951
0.01,0.479425538604203
0.0101,0.48380744032396
0.0102,0.488177246882908
0.0103,0.492534849036109
0.0104,0.496880137843737
0.0105,0.501213004673798
0.0106,0.505533341204847
0.0107,0.509841039428696
0.0108,0.514135991653113
0.0109,0.518418090504517
0.011,0.522687228930659
0.0111,0.526943300203301
0.0112,0.531186197920883
0.0113,0.535415816011183
0.0114,0.539632048733969
